country_name,aggregation_level,subregion1_name,subregion2_name,latitude,longitude
Indonesia,2,West Java,Bogor,-6.316667,106.166667
Indonesia,2,West Java,Sukabumi,-6.91972,106.927
Indonesia,2,West Java,Cianjur,-6.7725,107.08306
Indonesia,2,West Java,Bandung,-7.016667,107.516667
Indonesia,2,West Java,Garut,-7.38333,107.76667
Indonesia,2,West Java,Tasikmalaya,-7.5,108.13333
Indonesia,2,West Java,Ciamis,-6.75,108.383333
Indonesia,2,West Java,Kuningan,-6.97889,108.48
Indonesia,2,West Java,Cirebon,-6.8,108.56667
Indonesia,2,West Java,Majalengka,-6.81667,108.28333
Indonesia,2,West Java,Sumedang,-6.85,107.916667
Indonesia,2,West Java,Indramayu,-6.25,107.85
Indonesia,2,West Java,Subang,-6.016667,107.516667
Indonesia,2,West Java,Purwakarta,-6.416667,107.5
Indonesia,2,West Java,Karawang,-6.26667,107.41667
Indonesia,2,West Java,Bekasi,-6.24667,107.10833
Indonesia,2,West Java,West Bandung,-6.833333,107.483333
Indonesia,2,West Java,Pangandaran,-6.75,108.383333
Indonesia,2,West Java,Bogor,-6.6,106.8
Indonesia,2,West Java,Sukabumi,-6.919722,106.927222
Indonesia,2,West Java,Bandung,-6.95,107.566667
Indonesia,2,West Java,Cirebon,-6.716667,108.566667
Indonesia,2,West Java,Bekasi,-6.233333,107
Indonesia,2,West Java,Depok,-6.394,106.8225
Indonesia,2,West Java,Cimahi,-6.883333,107.533333
Indonesia,2,West Java,Tasikmalaya,-7.333333,108.2
Indonesia,2,West Java,Banjar,-7.366667,108.533333
